date,commodity,state,district,market,variety,grade,min_price,max_price,modal_price,arrival_quantity
2026-01-01,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,1800,2400,2100,1250
2026-01-02,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,1850,2450,2150,1200
2026-01-03,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,1900,2500,2200,1180
2026-01-04,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,1950,2550,2250,1150
2026-01-05,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2000,2600,2300,1100
2026-01-06,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2050,2650,2350,1050
2026-01-07,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2100,2700,2400,1000
2026-01-08,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2080,2680,2380,1020
2026-01-09,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2120,2720,2420,980
2026-01-10,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2150,2750,2450,950
2026-01-11,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2180,2780,2480,930
2026-01-12,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2200,2800,2500,900
2026-01-13,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2220,2820,2520,880
2026-01-14,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2250,2850,2550,860
2026-01-15,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2280,2880,2580,840
2026-01-16,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2300,2900,2600,820
2026-01-17,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2320,2920,2620,800
2026-01-18,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2300,2900,2600,830
2026-01-19,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2280,2880,2580,850
2026-01-20,Tomato,Gujarat,Rajkot,Rajkot Mandi,Local,A,2250,2850,2550,870
2026-01-01,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,1850,2450,2150,1300
2026-01-02,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,1900,2500,2200,1280
2026-01-03,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,1950,2550,2250,1250
2026-01-04,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2000,2600,2300,1220
2026-01-05,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2050,2650,2350,1200
2026-01-06,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2100,2700,2400,1180
2026-01-07,Tomato,Gujarat,Rajkot,Gondal Mandi,Desi,A,2150,2750,2450,1150
